serZone;type;tag;description
FBMZ;automatic stopSignal without blockSignalId;;stopSignal BZ98 (location Buizingen, grid 9665)
FBMZ;automatic stopSignal without blockSignalId;;stopSignal RX-H.1 (location Vl-Wa L1, grid 96542)
FBMZ;automatic stopSignal without blockSignalId;;stopSignal S-H.1 (location Vl-Wa L1, grid 96542)
FBMZ;blockSignal without node;;L-96E-BZ98
FBMZ;catenaryCase without nodes;;21815
FBMZ;catenaryCase without nodes;;21930
FBMZ;catenaryCase without nodes;;21931
FBMZ;incoherent stopSignal regimes;;trackEdge [switch 24AJ to switch 10C]: found normal and wrong regimes for up stopSignal group
FBMZ;internal macro:trackEdge not possible in a371;;macro:location L96-Bypass (from L96-B to L96-A)
FBMZ;locationRouteEdge without locationPoint with timingLocation[meso];;location RNZV (ptcarId 305): nb of locationRouteEdges without locationPoint with timingLocation[meso] 3/62 E2-F.1 - L0/2-B E4-F.1 - L0/4-B E6-F.1 - L0/6-B
FBMZ;locationRouteEdge without locationPoint with timingLocation[micro];;location FO (ptcarId 415): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/12 aw20BR - L96B-A
FBMZ;locationRouteEdge without locationPoint with timingLocation[micro];;location RNZV (ptcarId 305): nb of locationRouteEdges without locationPoint with timingLocation[micro] 3/62 E2-F.1 - L0/2-B E4-F.1 - L0/4-B E6-F.1 - L0/6-B
FBMZ;speedSignal without node;;L124KP0A440R2S2
FBMZ;speedSignal without node;;L124KP0A660R1S1
FBMZ;speedSignal without node;;L26KP26A515R1S1
FBMZ;speedSignal without node;;L26KP26A515R1S2
FBMZ;speedSignal without node;;L26KP26A617R2S1
FBMZ;speedSignal without node;;L28KP0A0R1S1
FBMZ;speedSignal without node;;L28KP0A700R2S2
FBMZ;speedSignal without node;;L94KP12A280R1S1
FBMZ;speedSignal without node;;L94KP12A650R2S1
FBMZ;speedSignal without node;;L94KP12A700R2S1
FBMZ;speedSignal without node;;L96KP12A990R2S1
FBMZ;speedSignal without node;;L96KP13A415R1S1
FBMZ;speedSignal without node;;L96KP13A415R1S2
FBMZ;speedSignal without node;;L96KP13A513R2S1
FBMZ;speedSignal without node;;L96KP13A530R2S2
FBMZ;speedSignal without node;;L96KP4A760R1S1
FBMZ;speedSignal without node;;L96KP4A760R1S2
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal 33AE.fic is present in micro:location Halle-Goed (ptcarId 506) but linked to ptrefColumn Y.Hal 9662/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal C-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/3 (ptcarId 506)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal EX-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal F-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal G-K.1 is present in micro:location Y.Kuregem (ptcarId 1521) but linked to ptrefColumn Y.Cur 2801/3 (ptcarId 299)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GX-L.1 is present in micro:location Br-Vl L124 (ptcarId 72) but linked to ptrefColumn Y.Lin12403/2 (ptcarId 1566)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GX-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GY-L.1 is present in micro:location Br-Vl L124 (ptcarId 72) but linked to ptrefColumn Y.Lin12403/2 (ptcarId 1566)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal H-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal L-R.1 is present in micro:location Br-Vl L96 (ptcarId 1793) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal L-T.1 is present in micro:location Vl-Wa L106 (ptcarId 1796) but linked to ptrefColumn Lemb 9633/4 (ptcarId 706)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal N-R.1 is present in micro:location Br-Vl L96N (ptcarId 1802) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal NX-R.1 is present in micro:location Br-Vl L96N (ptcarId 1802) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal OX-R.1 is present in micro:location Br-Vl L96 (ptcarId 1793) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal P-R.1 is present in micro:location Vorst-Zuid (ptcarId 415) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal QD-K.1 is present in micro:location Brus KEF B.F (ptcarId 225) but linked to ptrefColumn Y.Cur 2801/6 (ptcarId 1521)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal S-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal SX-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/2 (ptcarId 220)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal T-E.1 is present in micro:location Halle-Goed (ptcarId 506) but linked to ptrefColumn Y.Hal 9662/2 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal U-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/5 (ptcarId 220)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal U162-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/5 (ptcarId 220)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A012 (location Vl-Wa L106, interGrid 9633 - SER 17)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A014 (location Brussel-KE, interGrid 9678 - SER 6)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A0149 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A0159 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A017 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A0171 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A0184 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A052 (location Anderlecht-W, interGrid 5021 - SER 58)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A103 (location Buizingen, grid 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A105 (location Bruss-Zd-NZV, interGrid 3 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A11 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A114 (location St-Gen-Rode, interGrid 12405 - 12431)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A128 (location De Hoek, interGrid 12431 - SER 18)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A130 (location Halle, interGrid 9662 - 9653)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A150 (location Lembeek, interGrid 9457 - 9633)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A169 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;;stopSignal A176 (location Vl-Wa L96, interGrid 9633 - SER 17)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A18 (location Brussel-KE, grid 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A188 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A191 (location Moensberg, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A197 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A201 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A208 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A210 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A221 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A225 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A231 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A241 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A242 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A25 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A254 (location Huizingen, grid 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A257 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A27 (location Brussel-KE, interGrid 9675 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A274 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A29 (location Vorst-Oost, grid 12427)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A305 (location Bruss-Zd-NZV, interGrid 3 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A34 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A40 (location Ukkel-Stalle, grid 12428)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A505 (location Bruss-Zd-NZV, interGrid 3 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A52 (location Ukkel-Stalle, grid 12429)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A59 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A62 (location Ukkel-Kalev., grid 12402)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A75 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A96 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX013 (location Brussel-KE, interGrid 9678 - SER 6)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0153 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0164 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX017 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0178 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX026 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX038 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX086 (location Y.Kuregem, grid 2801)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX107 (location Buizingen, interGrid 9662 - 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX110 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX136 (location Halle, interGrid 9662 - 9653)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX15 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX160 (location Lembeek, interGrid 9457 - 9633)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX178 (location Y.Link-Halle, grid 2609)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX188 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX192 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
